product_id,angle,language,hook,scene_plan,proof,cta
P001,problem_solution,en-ms,Still dealing with laptop has too few ports?,"Show the problem in a Malaysia-relevant scene: student desk, work-from-home desk, office, or cyber cafe setup. Then introduce 4-Port USB 3.0 Hub for Laptop Desk Setup.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM47, this is worth testing."
P001,malay_local,ms-en,"Meja kerja nampak simple, tapi masalah cable dan port selalu kacau.","Open with a local Malaysia scene: student desk, work-from-home desk, office, or cyber cafe setup. Show 4-Port USB 3.0 Hub for Laptop Desk Setup in use within 3 seconds.","Show cleaner desk, easier connection, and faster workflow. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P001,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same student desk, work-from-home desk, office, or cyber cafe setup setup.","Compare cleaner desk, easier connection, and faster workflow in 10 seconds.",I would test this first because the result is easy to see.
P001,review_pain_reply,en-ms,Someone said: 'laptop has too few ports'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate 4-Port USB 3.0 Hub for Laptop Desk Setup in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P002,problem_solution,en-ms,Still dealing with watching TV in dark room?,"Show the problem in a Malaysia-relevant scene: night TV setup, gaming room, small bedroom, or rental room makeover. Then introduce USB TV LED Backlight Strip Kit.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM47, this is worth testing."
P002,malay_local,ms-en,"Bilik nampak lagi mahal, tapi modal kecil saja.","Open with a local Malaysia scene: night TV setup, gaming room, small bedroom, or rental room makeover. Show USB TV LED Backlight Strip Kit in use within 3 seconds.",Show room mood before/after and glare reduction. Keep every shot clear enough to understand without sound.,Tekan cart kuning kalau nak tengok harga promo hari ini.
P002,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same night TV setup, gaming room, small bedroom, or rental room makeover setup.",Compare room mood before/after and glare reduction in 10 seconds.,I would test this first because the result is easy to see.
P002,review_pain_reply,en-ms,Someone said: 'watching TV in dark room'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate USB TV LED Backlight Strip Kit in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P003,problem_solution,en-ms,Still dealing with phone screen scratches?,"Show the problem in a Malaysia-relevant scene: commute, cafe table, bedroom, office desk, or content creator setup. Then introduce Tempered Glass Screen Protector 3-Pack for iPhone.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM33, this is worth testing."
P003,malay_local,ms-en,"Phone hari-hari pakai, benda kecil macam ni memang terasa beza.","Open with a local Malaysia scene: commute, cafe table, bedroom, office desk, or content creator setup. Show Tempered Glass Screen Protector 3-Pack for iPhone in use within 3 seconds.","Show grip, charging speed, protection, or hands-free convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P003,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same commute, cafe table, bedroom, office desk, or content creator setup setup.","Compare grip, charging speed, protection, or hands-free convenience in 10 seconds.",I would test this first because the result is easy to see.
P003,review_pain_reply,en-ms,Someone said: 'phone screen scratches'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Tempered Glass Screen Protector 3-Pack for iPhone in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P004,problem_solution,en-ms,Still dealing with new laptop has no USB-A port?,"Show the problem in a Malaysia-relevant scene: student desk, work-from-home desk, office, or cyber cafe setup. Then introduce USB-C to USB-A Adapter 3-Pack.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM28, this is worth testing."
P004,malay_local,ms-en,"Meja kerja nampak simple, tapi masalah cable dan port selalu kacau.","Open with a local Malaysia scene: student desk, work-from-home desk, office, or cyber cafe setup. Show USB-C to USB-A Adapter 3-Pack in use within 3 seconds.","Show cleaner desk, easier connection, and faster workflow. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P004,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same student desk, work-from-home desk, office, or cyber cafe setup setup.","Compare cleaner desk, easier connection, and faster workflow in 10 seconds.",I would test this first because the result is easy to see.
P004,review_pain_reply,en-ms,Someone said: 'new laptop has no USB-A port'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate USB-C to USB-A Adapter 3-Pack in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P005,problem_solution,en-ms,Still dealing with old charger too slow?,"Show the problem in a Malaysia-relevant scene: commute, cafe table, bedroom, office desk, or content creator setup. Then introduce 20W USB-C Fast Charger Mini Wall Plug.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM42, this is worth testing."
P005,malay_local,ms-en,"Phone hari-hari pakai, benda kecil macam ni memang terasa beza.","Open with a local Malaysia scene: commute, cafe table, bedroom, office desk, or content creator setup. Show 20W USB-C Fast Charger Mini Wall Plug in use within 3 seconds.","Show grip, charging speed, protection, or hands-free convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P005,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same commute, cafe table, bedroom, office desk, or content creator setup setup.","Compare grip, charging speed, protection, or hands-free convenience in 10 seconds.",I would test this first because the result is easy to see.
P005,review_pain_reply,en-ms,Someone said: 'old charger too slow'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate 20W USB-C Fast Charger Mini Wall Plug in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P006,problem_solution,en-ms,Still dealing with cable breaks easily?,"Show the problem in a Malaysia-relevant scene: commute, cafe table, bedroom, office desk, or content creator setup. Then introduce USB-C Fast Charging Cable 60W 2-Pack.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM38, this is worth testing."
P006,malay_local,ms-en,"Phone hari-hari pakai, benda kecil macam ni memang terasa beza.","Open with a local Malaysia scene: commute, cafe table, bedroom, office desk, or content creator setup. Show USB-C Fast Charging Cable 60W 2-Pack in use within 3 seconds.","Show grip, charging speed, protection, or hands-free convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P006,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same commute, cafe table, bedroom, office desk, or content creator setup setup.","Compare grip, charging speed, protection, or hands-free convenience in 10 seconds.",I would test this first because the result is easy to see.
P006,review_pain_reply,en-ms,Someone said: 'cable breaks easily'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate USB-C Fast Charging Cable 60W 2-Pack in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P007,problem_solution,en-ms,Still dealing with phone slips while scrolling?,"Show the problem in a Malaysia-relevant scene: commute, cafe table, bedroom, office desk, or content creator setup. Then introduce Magnetic Phone Ring Holder Stand.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM33, this is worth testing."
P007,malay_local,ms-en,"Phone hari-hari pakai, benda kecil macam ni memang terasa beza.","Open with a local Malaysia scene: commute, cafe table, bedroom, office desk, or content creator setup. Show Magnetic Phone Ring Holder Stand in use within 3 seconds.","Show grip, charging speed, protection, or hands-free convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P007,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same commute, cafe table, bedroom, office desk, or content creator setup setup.","Compare grip, charging speed, protection, or hands-free convenience in 10 seconds.",I would test this first because the result is easy to see.
P007,review_pain_reply,en-ms,Someone said: 'phone slips while scrolling'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Magnetic Phone Ring Holder Stand in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P008,problem_solution,en-ms,Still dealing with phone falls while driving?,"Show the problem in a Malaysia-relevant scene: Grab commute, daily drive, parking lot, or dashboard navigation scene. Then introduce Magnetic Car Phone Mount for Air Vent.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM40, this is worth testing."
P008,malay_local,ms-en,"Kalau selalu drive, masalah phone jatuh memang annoying.","Open with a local Malaysia scene: Grab commute, daily drive, parking lot, or dashboard navigation scene. Show Magnetic Car Phone Mount for Air Vent in use within 3 seconds.","Show phone stability, one-hand use, and cleaner dashboard. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P008,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same Grab commute, daily drive, parking lot, or dashboard navigation scene setup.","Compare phone stability, one-hand use, and cleaner dashboard in 10 seconds.",I would test this first because the result is easy to see.
P008,review_pain_reply,en-ms,Someone said: 'phone falls while driving'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Magnetic Car Phone Mount for Air Vent in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P009,problem_solution,en-ms,Still dealing with neck hurts looking down?,"Show the problem in a Malaysia-relevant scene: commute, cafe table, bedroom, office desk, or content creator setup. Then introduce Adjustable Foldable Phone Stand for Desk.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM35, this is worth testing."
P009,malay_local,ms-en,"Phone hari-hari pakai, benda kecil macam ni memang terasa beza.","Open with a local Malaysia scene: commute, cafe table, bedroom, office desk, or content creator setup. Show Adjustable Foldable Phone Stand for Desk in use within 3 seconds.","Show grip, charging speed, protection, or hands-free convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P009,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same commute, cafe table, bedroom, office desk, or content creator setup setup.","Compare grip, charging speed, protection, or hands-free convenience in 10 seconds.",I would test this first because the result is easy to see.
P009,review_pain_reply,en-ms,Someone said: 'neck hurts looking down'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Adjustable Foldable Phone Stand for Desk in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P010,problem_solution,en-ms,Still dealing with worried camera is exposed?,"Show the problem in a Malaysia-relevant scene: student desk, work-from-home desk, office, or cyber cafe setup. Then introduce Laptop Webcam Privacy Cover 6-Pack.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM23, this is worth testing."
P010,malay_local,ms-en,"Meja kerja nampak simple, tapi masalah cable dan port selalu kacau.","Open with a local Malaysia scene: student desk, work-from-home desk, office, or cyber cafe setup. Show Laptop Webcam Privacy Cover 6-Pack in use within 3 seconds.","Show cleaner desk, easier connection, and faster workflow. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P010,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same student desk, work-from-home desk, office, or cyber cafe setup setup.","Compare cleaner desk, easier connection, and faster workflow in 10 seconds.",I would test this first because the result is easy to see.
P010,review_pain_reply,en-ms,Someone said: 'worried camera is exposed'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Laptop Webcam Privacy Cover 6-Pack in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P011,problem_solution,en-ms,Still dealing with keyboard crumbs?,"Show the problem in a Malaysia-relevant scene: student desk, work-from-home desk, office, or cyber cafe setup. Then introduce Keyboard Cleaning Gel and Electronics Dust Cleaner Kit.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM33, this is worth testing."
P011,malay_local,ms-en,"Meja kerja nampak simple, tapi masalah cable dan port selalu kacau.","Open with a local Malaysia scene: student desk, work-from-home desk, office, or cyber cafe setup. Show Keyboard Cleaning Gel and Electronics Dust Cleaner Kit in use within 3 seconds.","Show cleaner desk, easier connection, and faster workflow. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P011,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same student desk, work-from-home desk, office, or cyber cafe setup setup.","Compare cleaner desk, easier connection, and faster workflow in 10 seconds.",I would test this first because the result is easy to see.
P011,review_pain_reply,en-ms,Someone said: 'keyboard crumbs'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Keyboard Cleaning Gel and Electronics Dust Cleaner Kit in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P012,problem_solution,en-ms,Still dealing with charging cable breaks at the end?,"Show the problem in a Malaysia-relevant scene: commute, cafe table, bedroom, office desk, or content creator setup. Then introduce Cable Protector Spiral Saver 20-Pack.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM28, this is worth testing."
P012,malay_local,ms-en,"Phone hari-hari pakai, benda kecil macam ni memang terasa beza.","Open with a local Malaysia scene: commute, cafe table, bedroom, office desk, or content creator setup. Show Cable Protector Spiral Saver 20-Pack in use within 3 seconds.","Show grip, charging speed, protection, or hands-free convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P012,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same commute, cafe table, bedroom, office desk, or content creator setup setup.","Compare grip, charging speed, protection, or hands-free convenience in 10 seconds.",I would test this first because the result is easy to see.
P012,review_pain_reply,en-ms,Someone said: 'charging cable breaks at the end'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Cable Protector Spiral Saver 20-Pack in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P013,problem_solution,en-ms,Still dealing with cables fall behind desk?,"Show the problem in a Malaysia-relevant scene: student desk, work-from-home desk, office, or cyber cafe setup. Then introduce Silicone Cable Clips Desk Organizer 6-Pack.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM31, this is worth testing."
P013,malay_local,ms-en,"Meja kerja nampak simple, tapi masalah cable dan port selalu kacau.","Open with a local Malaysia scene: student desk, work-from-home desk, office, or cyber cafe setup. Show Silicone Cable Clips Desk Organizer 6-Pack in use within 3 seconds.","Show cleaner desk, easier connection, and faster workflow. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P013,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same student desk, work-from-home desk, office, or cyber cafe setup setup.","Compare cleaner desk, easier connection, and faster workflow in 10 seconds.",I would test this first because the result is easy to see.
P013,review_pain_reply,en-ms,Someone said: 'cables fall behind desk'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Silicone Cable Clips Desk Organizer 6-Pack in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P014,problem_solution,en-ms,Still dealing with phone camera cannot capture close details?,"Show the problem in a Malaysia-relevant scene: commute, cafe table, bedroom, office desk, or content creator setup. Then introduce 3-in-1 Phone Lens Clip Macro Wide Angle Fisheye.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM47, this is worth testing."
P014,malay_local,ms-en,"Phone hari-hari pakai, benda kecil macam ni memang terasa beza.","Open with a local Malaysia scene: commute, cafe table, bedroom, office desk, or content creator setup. Show 3-in-1 Phone Lens Clip Macro Wide Angle Fisheye in use within 3 seconds.","Show grip, charging speed, protection, or hands-free convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P014,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same commute, cafe table, bedroom, office desk, or content creator setup setup.","Compare grip, charging speed, protection, or hands-free convenience in 10 seconds.",I would test this first because the result is easy to see.
P014,review_pain_reply,en-ms,Someone said: 'phone camera cannot capture close details'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate 3-in-1 Phone Lens Clip Macro Wide Angle Fisheye in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P015,problem_solution,en-ms,Still dealing with voice sounds noisy?,"Show the problem in a Malaysia-relevant scene: TikTok recording, live selling, cafe, street, or home office scene. Then introduce Wired USB-C Lavalier Microphone for Phone.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM47, this is worth testing."
P015,malay_local,ms-en,Suara clear lagi senang orang percaya bila buat video jualan.,"Open with a local Malaysia scene: TikTok recording, live selling, cafe, street, or home office scene. Show Wired USB-C Lavalier Microphone for Phone in use within 3 seconds.",Show voice clarity before/after and noise reduction. Keep every shot clear enough to understand without sound.,Tekan cart kuning kalau nak tengok harga promo hari ini.
P015,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same TikTok recording, live selling, cafe, street, or home office scene setup.",Compare voice clarity before/after and noise reduction in 10 seconds.,I would test this first because the result is easy to see.
P015,review_pain_reply,en-ms,Someone said: 'voice sounds noisy'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Wired USB-C Lavalier Microphone for Phone in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P016,problem_solution,en-ms,Still dealing with creator cannot move camera files?,"Show the problem in a Malaysia-relevant scene: student desk, work-from-home desk, office, or cyber cafe setup. Then introduce Mini USB-C Card Reader for SD and MicroSD.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM42, this is worth testing."
P016,malay_local,ms-en,"Meja kerja nampak simple, tapi masalah cable dan port selalu kacau.","Open with a local Malaysia scene: student desk, work-from-home desk, office, or cyber cafe setup. Show Mini USB-C Card Reader for SD and MicroSD in use within 3 seconds.","Show cleaner desk, easier connection, and faster workflow. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P016,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same student desk, work-from-home desk, office, or cyber cafe setup setup.","Compare cleaner desk, easier connection, and faster workflow in 10 seconds.",I would test this first because the result is easy to see.
P016,review_pain_reply,en-ms,Someone said: 'creator cannot move camera files'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Mini USB-C Card Reader for SD and MicroSD in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P017,problem_solution,en-ms,Still dealing with charging cable bends?,"Show the problem in a Malaysia-relevant scene: commute, cafe table, bedroom, office desk, or content creator setup. Then introduce Magnetic Wireless Charger Pad with USB-C Cable.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM49, this is worth testing."
P017,malay_local,ms-en,"Phone hari-hari pakai, benda kecil macam ni memang terasa beza.","Open with a local Malaysia scene: commute, cafe table, bedroom, office desk, or content creator setup. Show Magnetic Wireless Charger Pad with USB-C Cable in use within 3 seconds.","Show grip, charging speed, protection, or hands-free convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P017,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same commute, cafe table, bedroom, office desk, or content creator setup setup.","Compare grip, charging speed, protection, or hands-free convenience in 10 seconds.",I would test this first because the result is easy to see.
P017,review_pain_reply,en-ms,Someone said: 'charging cable bends'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Magnetic Wireless Charger Pad with USB-C Cable in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P018,problem_solution,en-ms,Still dealing with want better livestream image?,"Show the problem in a Malaysia-relevant scene: student desk, work-from-home desk, office, or cyber cafe setup. Then introduce Mini HDMI to USB-C Capture Card for Live Streaming.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM47, this is worth testing."
P018,malay_local,ms-en,"Meja kerja nampak simple, tapi masalah cable dan port selalu kacau.","Open with a local Malaysia scene: student desk, work-from-home desk, office, or cyber cafe setup. Show Mini HDMI to USB-C Capture Card for Live Streaming in use within 3 seconds.","Show cleaner desk, easier connection, and faster workflow. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P018,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same student desk, work-from-home desk, office, or cyber cafe setup setup.","Compare cleaner desk, easier connection, and faster workflow in 10 seconds.",I would test this first because the result is easy to see.
P018,review_pain_reply,en-ms,Someone said: 'want better livestream image'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Mini HDMI to USB-C Capture Card for Live Streaming in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P019,problem_solution,en-ms,Still dealing with dust in charging port?,"Show the problem in a Malaysia-relevant scene: commute, cafe table, bedroom, office desk, or content creator setup. Then introduce Anti-Dust Charging Port Plug Set for USB-C Phone.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM23, this is worth testing."
P019,malay_local,ms-en,"Phone hari-hari pakai, benda kecil macam ni memang terasa beza.","Open with a local Malaysia scene: commute, cafe table, bedroom, office desk, or content creator setup. Show Anti-Dust Charging Port Plug Set for USB-C Phone in use within 3 seconds.","Show grip, charging speed, protection, or hands-free convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P019,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same commute, cafe table, bedroom, office desk, or content creator setup setup.","Compare grip, charging speed, protection, or hands-free convenience in 10 seconds.",I would test this first because the result is easy to see.
P019,review_pain_reply,en-ms,Someone said: 'dust in charging port'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Anti-Dust Charging Port Plug Set for USB-C Phone in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P020,problem_solution,en-ms,Still dealing with forgot to turn off lamp or fan?,"Show the problem in a Malaysia-relevant scene: bedroom fan, desk lamp, rental room, or home appliance timer scene. Then introduce Mini Smart Plug WiFi Outlet 1-Pack.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM47, this is worth testing."
P020,malay_local,ms-en,Lampu atau kipas boleh jadi smart tanpa tukar barang besar.,"Open with a local Malaysia scene: bedroom fan, desk lamp, rental room, or home appliance timer scene. Show Mini Smart Plug WiFi Outlet 1-Pack in use within 3 seconds.","Show timer control, app control, and convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P020,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same bedroom fan, desk lamp, rental room, or home appliance timer scene setup.","Compare timer control, app control, and convenience in 10 seconds.",I would test this first because the result is easy to see.
P020,review_pain_reply,en-ms,Someone said: 'forgot to turn off lamp or fan'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Mini Smart Plug WiFi Outlet 1-Pack in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
